Year,Rate
1960-12-01 00:00:00,5.541666666666667
1961-12-01 00:00:00,6.691666666666666
1962-12-01 00:00:00,5.566666666666666
1963-12-01 00:00:00,5.641666666666667
1964-12-01 00:00:00,5.158333333333334
1965-12-01 00:00:00,4.508333333333333
1966-12-01 00:00:00,3.7916666666666665
1967-12-01 00:00:00,3.841666666666667
1968-12-01 00:00:00,3.558333333333333
1969-12-01 00:00:00,3.491666666666667
1970-12-01 00:00:00,4.983333333333333
1971-12-01 00:00:00,5.95
1972-12-01 00:00:00,5.6000000000000005
1973-12-01 00:00:00,4.858333333333333
1974-12-01 00:00:00,5.641666666666667
1975-12-01 00:00:00,8.475
1976-12-01 00:00:00,7.7
1977-12-01 00:00:00,7.05
1978-12-01 00:00:00,6.066666666666667
1979-12-01 00:00:00,5.849999999999999
1980-12-01 00:00:00,7.175000000000001
1981-12-01 00:00:00,7.616666666666667
1982-12-01 00:00:00,9.708333333333334
1983-12-01 00:00:00,9.6
1984-12-01 00:00:00,7.508333333333333
1985-12-01 00:00:00,7.191666666666666
1986-12-01 00:00:00,7.0
1987-12-01 00:00:00,6.175000000000001
1988-12-01 00:00:00,5.491666666666667
1989-12-01 00:00:00,5.258333333333334
1990-12-01 00:00:00,5.616666666666667
1991-12-01 00:00:00,6.8500000000000005
1992-12-01 00:00:00,7.491666666666667
1993-12-01 00:00:00,6.908333333333332
1994-12-01 00:00:00,6.1000000000000005
1995-12-01 00:00:00,5.591666666666668
1996-12-01 00:00:00,5.408333333333334
1997-12-01 00:00:00,4.941666666666667
1998-12-01 00:00:00,4.5
1999-12-01 00:00:00,4.216666666666666
2000-12-01 00:00:00,3.966666666666667
2001-12-01 00:00:00,4.741666666666666
2002-12-01 00:00:00,5.783333333333334
2003-12-01 00:00:00,5.991666666666666
2004-12-01 00:00:00,5.541666666666667
2005-12-01 00:00:00,5.083333333333333
2006-12-01 00:00:00,4.608333333333333
2007-12-01 00:00:00,4.616666666666667
2008-12-01 00:00:00,5.8
2009-12-01 00:00:00,9.283333333333333
2010-12-01 00:00:00,9.608333333333333
2011-12-01 00:00:00,8.933333333333334
2012-12-01 00:00:00,8.075000000000001
2013-12-01 00:00:00,7.358333333333333
2014-12-01 00:00:00,6.158333333333332
2015-12-01 00:00:00,5.2749999999999995
2016-12-01 00:00:00,4.875
2017-12-01 00:00:00,4.358333333333333
2018-12-01 00:00:00,3.891666666666666
2019-12-01 00:00:00,3.6750000000000003
2020-12-01 00:00:00,8.091666666666667
2021-12-01 00:00:00,5.3500000000000005
2022-12-01 00:00:00,3.633333333333333
2023-12-01 00:00:00,3.625
